MHJAIAPH_00010	OG0000000|GICGEHBJ_01351	61.0	98.0
MHJAIAPH_00018	OG0000596|JLLJOIMJ_02562	60.6	98.9
MHJAIAPH_00018	OG0000596|/Escherichia_coli_C2566_ASM155961v2_00474	61.2	100
MHJAIAPH_00018	OG0000596|/Escherichia_coli_DH5alpha_ASM98243v1_00820	61.2	100
MHJAIAPH_00018	OG0000596|/Escherichia_coli_BW25113_ASM1553485v1_04147	61.2	100
MHJAIAPH_00048	OG0001227|/Methylorubrum_extorquens_DM4_ASM8354v1_01831	61.0	96.6
MHJAIAPH_00049	OG0001119|/Methylobacterium_mesophilicum_SR1.6_6_ASM36444v2_01866	66.0	96.0
MHJAIAPH_00049	OG0001119|/Methylorubrum_extorquens_DM4_ASM8354v1_01830	65.0	99.2
MHJAIAPH_00049	OG0001119|/Maritalea_mobilis_DP3N28-3_ASM1980088v1_02854	65.1	95.3
MHJAIAPH_00049	OG0001119|/Escherichia_coli_C2566_ASM155961v2_01420	60.3	95.1
MHJAIAPH_00049	OG0001119|/Escherichia_coli_DH5alpha_ASM98243v1_03828	60.3	95.1
MHJAIAPH_00073	OG0002372|/Escherichia_coli_C2566_ASM155961v2_01945	70.5	94.1
MHJAIAPH_00073	OG0002372|/Escherichia_coli_DH5alpha_ASM98243v1_03452	70.5	94.1
MHJAIAPH_00073	OG0002372|/Escherichia_coli_BW25113_ASM1553485v1_01249	70.5	94.1
MHJAIAPH_00085	OG0001526|JLLJOIMJ_01908	64.6	97.8
MHJAIAPH_00092	OG0000523|/Anoxybacillus_gonensis_G2_ASM118759v1_02093	64.9	99.0
MHJAIAPH_00092	OG0000523|OGMGMCIP_00868	64.3	99.0
MHJAIAPH_00092	OG0000523|ACNKOELL_00987	64.3	99.0
MHJAIAPH_00092	OG0000523|/Exiguobacterium_acetylicum_AMCC_101217_ASM827484v1_00937	66.8	98.0
MHJAIAPH_00092	OG0000523|KCFIIEME_01150	65.2	99.0
MHJAIAPH_00101	OG0001635|MFHGNBND_00862	61.6	100
MHJAIAPH_00101	OG0001635|/Methylorubrum_extorquens_DM4_ASM8354v1_03605	61.6	100
MHJAIAPH_00101	OG0001635|LGFPBGDE_02682	60.4	100
MHJAIAPH_00101	OG0001635|JBJLPPAH_06420	61.4	99.4
MHJAIAPH_00101	OG0001635|/Methylobacterium_terrae_17Sr1-28_ASM317375v1_00581	60.4	100
MHJAIAPH_00103	OG0004480|/Methylobacterium_mesophilicum_SR1.6_6_ASM36444v2_04610	64.2	99.2
MHJAIAPH_00103	OG0004480|MFHGNBND_01822	63.0	99.2
MHJAIAPH_00103	OG0004480|/Methylorubrum_extorquens_DM4_ASM8354v1_02896	61.5	99.2
MHJAIAPH_00103	OG0004480|LGFPBGDE_02370	61.9	99.2
MHJAIAPH_00103	OG0004480|MFHGNBND_06204	61.9	99.2
MHJAIAPH_00104	OG0000014|GICGEHBJ_00751	62.7	97.9
MHJAIAPH_00104	OG0000014|JFIPJCNF_03098	62.8	97.6
MHJAIAPH_00104	OG0000014|BFMCFLBC_01146	62.8	97.6
MHJAIAPH_00104	OG0000014|GDBCNCPM_02334	62.4	97.6
